link,name,old_price,price
https://www.amazon.com/HP-15-6-inch-Processor-Windows-15-ef0021nr/dp/B0876K24XJ/ref=sr_1_509?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-509,"HP 15.6-inch HD Laptop, AMD Ryzen 3 3200U Processor, 8 GB RAM, 256 GB SSD, Windows 10 Home (15-ef0021nr, Natural Silver) ",nan,398.
https://www.amazon.com/Samsung-Chromebook-Without-Graphics-Processor/dp/B08WVDZTDG/ref=sr_1_510?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-510,"Samsung Electronics Chromebook 4 (2021 Model Without SD Slot) 11.6"" Intel UHD Graphics 600, Intel Celeron Processor N4020, 4GB, 16GB- Wi-Fi - Platinum (XE310XBA-KD1US), Silver ",nan,224.
https://www.amazon.com/Intel-Celeron-14-Inch-Laptop-Peacock/dp/B09YRY8TXD/ref=sr_1_511?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-511,Asus E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Peacock Blue) ,nan,172.
https://www.amazon.com/HP-i5-8250U-Graphics-Fingerprint-13-ah0051wm/dp/B07F32YFDL/ref=sr_1_512?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-512,"HP Envy 13 Ultra Thin Laptop 13.3"" Full-HD, Intel Core i5-8250U, Intel UHD Graphics 620, 256GB SSD, 8GB SDRAM, Fingerprint Reader, 13-ah0051wm ",$699.00,579.
https://www.amazon.com/HP-Fortis-Chromebook-Enterprise-14-Inch/dp/B0B4DBD571/ref=sr_1_513?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-513,HP Fortis Chromebook Enterprise G10 14-Inch Laptop - Intel Celeron N5100 - 8 GB RAM - 64 GB eMMC - Chrome OS - Intel HD Graphics 400 ,nan,653.
https://www.amazon.com/HP-15-ef1000-15-ef1074nr-15-6-Notebook/dp/B087CZQSPH/ref=sr_1_514?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-514,"HP 15-ef1000 15-ef1074nr 15.6"" Notebook - Athlon 3150U - 4 GB RAM - 256 GB SSD - Windows 10 ",$402.00,289.
https://www.amazon.com/ROG-Zephyrus-G14-White-Tikbot-Accessories/dp/B098TC93DL/ref=sr_1_515?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-515,"Asus ROG Zephyrus G14 VR Ready Gaming Laptop, 14"" 144Hz Full HD IPS Display, 8 Cores AMD Ryzen 9 5900HS,NVIDIA GeForce RTX 3060, Moonlight White-Tikbot Accessories (16GB RAM |1TB PCIe SSD) ",nan,"1,489."
https://www.amazon.com/Gaming-GeForce-i7-9750H-Windows-GL531GT-EB76/dp/B07SDFFRJJ/ref=sr_1_516?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-516,"Asus ROG Strix G (2019) Gaming Laptop, 15.6” IPS Type FHD, NVIDIA GeForce GTX 1650, Intel Core i7-9750H, 16GB DDR4, 1TB PCIe Nvme SSD, RGB KB, Windows 10 Home, GL531GT-EB76 ",nan,nan
https://www.amazon.com/ASUS-Chromebook-Enterprise-Touchscreen-CM5500FDA-GN344T/dp/B09PZR39G5/ref=sr_1_517?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-517,"ASUS Chromebook Enterprise Flip CM5, 15.6"" Touchscreen Full HD, AMD Ryzen 3 3250C, 64GB eMMC, 4GB, Backlit Keyboard, Zero-Touch Enrollment, Chrome OS with Chrome Enterprise Upgrade, CM5500FDA-GN344T ",nan,689.
https://www.amazon.com/Acer-Chromebook-Celeron-Display-CB314-1HT-C7C0/dp/B0858LSWLW/ref=sr_1_518?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-518,"Acer Chromebook 314, Intel Celeron N4000, 14"" HD Touch Display, 4GB LPDDR4, 64GB eMMC, Gigabit WiFi, Google Chrome, CB314-1HT-C7C0 ",nan,240.
https://www.amazon.com/SAMSUNG-15-6-Galaxy-Book2-Silver/dp/B09R98F7D7/ref=sr_1_519?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-519,"SAMSUNG 15.6” Galaxy Book2 Pro Laptop Computer, i5 / 8GB / 512GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Silver ","$1,249.99",899.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzQ3NDkzMzgwMTQ1Mzc0OjE2Njg3OTI0Nzk6c3BfbXRmX2Jyb3dzZToyMDAwODY0OTk3MzE1OTg6OjA6Og&url=%2FLenovo-2-1-Chromebook-Computer%2Fdp%2FB09RNCN3YV%2Fref%3Dsr_1_520_sspa%3Fqid%3D1668792479%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-520-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,"Lenovo IdeaPad Flex 5i - 2022 - Chromebook 2-in-1 Laptop - Chrome OS - 13.3"" FHD Touch Display - 8GB Memory - 128GB Storage - Intel Core i3 11th Gen - Abyss Blue ",$429.99,299.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzQ3NDkzMzgwMTQ1Mzc0OjE2Njg3OTI0Nzk6c3BfbXRmX2Jyb3dzZToyMDAwNzE1MjczODQ4OTg6OjA6Og&url=%2FLenovo-IdeaPad-Computer-i3-14-0-Display%2Fdp%2FB09YWPDCP6%2Fref%3Dsr_1_521_sspa%3Fqid%3D1668792479%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-521-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,"Lenovo IdeaPad 1i - 2022 - Browse Laptop - Ultra-Fast Multi-Tasking - Windows 11 Home - 14"" HD Display - 4GB Memory - 128GB Storage - Intel Core i3 12th Gen - Cloud Grey ",$449.99,329.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzQ3NDkzMzgwMTQ1Mzc0OjE2Njg3OTI0Nzk6c3BfbXRmX2Jyb3dzZToyMDAwNjcxOTMxMjMxOTg6OjA6Og&url=%2FHP-Microsoft-Included-Windows-Student%2Fdp%2FB0B512DM4H%2Fref%3Dsr_1_522_sspa%3Fqid%3D1668792479%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-522-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1%26smid%3DA9D6J376CGTLK,"2022 Newest HP Laptop with Microsoft Office Included 1-Year, 15.6"" HD Screen, AMD Athlon 3050U 16GB RAM 1TB SSD HDMI Port Webcam Gold White Windows 11 | College Student Bundle, ROKC HDMI Cable ",nan,549.
https://www.amazon.com/Acer-Convertible-i7-1260P-Windows-SP514-51N-70LZ/dp/B09ZVM2LLH/ref=sr_1_523?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-523,"Acer Spin 5 Intel Evo Convertible Laptop | 14"" 2560 x 1600 IPS Touch (425nit & 100% sRGB) | Intel Core i7-1260P | 16GB LPDDR5 | 1TB SSD | Killer WiFi 6E | Active Stylus | Windows 11 | SP514-51N-70LZ ",nan,"1,379."
https://www.amazon.com/ASUS-Touchscreen-8GB-256GB-Fingerprint/dp/B08X9ZKDB3/ref=sr_1_524?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-524,"Newest ASUS VivoBook 15.6-inch Touchscreen FHD Laptop PC, 10th Gen Quad-Core Intel I5-1035G1, 8GB DDR4, 256GB PCIe SSD, Fingerprint Reader, Windows 10 Home ",nan,520.
https://www.amazon.com/ASUS-VivoBook-Platform-i5-12500H-K3502ZA-DS51/dp/B09ZKGPCSH/ref=sr_1_525?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-525,"ASUS VivoBook S 15 OLED Slim Laptop, 15.6” FHD OLED Display, Intel Evo Platform, Intel Core i5-12500H CPU, 8GB RAM, 512GB SSD, Windows 11 Home, Indie Black, K3502ZA-DS51 ",nan,887.
https://www.amazon.com/MSI-WS76-Workstation-Laptop-Thunderbolt/dp/B098WRWFKB/ref=sr_1_526?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-526,"MSI WS76 Workstation Laptop: 17.3"" 144Hz FHD 1080p, Intel Core i9-11900H, NVIDIA Quadro RTX A5000 , 64GB, 1TB SSD, Thunderbolt 4, WiFi 6E, TPM2.0 Fingerprint, Win10 PRO, Black (11UM-468) ","$4,199.00","3,951."
https://www.amazon.com/MSI-Raider-Gaming-i7-11800H-RTX3070/dp/B0B75Y7DVJ/ref=sr_1_527?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-527,"MSI GE76 Raider 17.3"" 360Hz Gaming Laptop Intel Core i7-11800H RTX3070 32GB 1TB NVMe SSD Win11 - Blue (11UG-1048) ","$2,249.00","1,998."
https://www.amazon.com/Acer-A517-52-58UL-i5-1135G7-Graphics-Fingerprint/dp/B09JGSWN1W/ref=sr_1_528?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-528,"Acer Aspire 5 A517-52-58UL Laptop | 17.3"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 | Intel Iris Xe Graphics | 8GB DDR4 | 512GB SSD | WiFi 6 | Fingerprint Reader | BL Keyboard | Windows 11 ",nan,749.
https://www.amazon.com/Acer-SF314-43-R6NE-Octa-Core-Processor-Fingerprint/dp/B0BCMF8MNM/ref=sr_1_529?qid=1668792479&rnid=13896617011&s=computers-intl-ship&sr=1-529,"Acer Swift 3 SF314-43-R6NE Laptop | 14"" Full HD IPS | AMD Ryzen 7 5700U Octa-Core Processor | AMD Radeon Graphics | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Fingerprint Reader | Backlit KB | Windows 11 ",nan,799.
